time,Nino34,WWV,NPMM,SPMM,IOB,IOD,SIOD,TNA,ATL3,SASD,month
1979-01-01,-0.14227913,11.066086,-0.25345188,0.5069457,0.18751748,0.4317262,0.31192365,0.23328537,-0.18718545,0.25132427,1
1979-02-01,0.02629467,10.962595,-0.6119007,0.1880626,0.13441318,0.07086364,0.12707612,0.5964454,-0.23981792,0.3431032,2
1979-03-01,-0.0826574,5.9431667,-0.5740114,-0.17466278,0.08133428,0.044977166,0.19673859,0.28928748,-0.245982,0.34947598,3
1979-04-01,0.06434939,2.8319535,-0.40075746,0.09304396,0.018980647,-0.029559484,0.12440594,0.44211888,-0.04078629,0.26861814,4
1979-05-01,0.037303265,2.936459,-0.4428131,0.36198854,-0.051638894,0.04080426,0.11827695,0.46230248,-0.009007892,0.13888967,5
1979-06-01,-0.14908314,2.6908078,-0.19079639,0.25658488,0.14143816,0.6296776,0.34189355,0.498744,0.07480032,0.028843658,6
1979-07-01,-0.28933743,1.1097524,-0.2207708,0.3215007,0.012211757,0.21424457,0.3404869,0.3315615,0.279683,0.19274393,7
1979-08-01,0.04626793,3.002206,-0.04608521,0.3397573,-0.144913,-0.23204291,0.35105908,0.036111813,0.25066537,0.2660502,8
1979-09-01,0.34244782,4.791101,0.03472101,0.36362746,-0.07118618,-0.35190114,0.29794657,0.09269817,0.10824419,0.39940566,9
1979-10-01,0.29623285,3.253666,0.19260447,0.18472847,-0.034473725,-0.44566712,0.2645226,0.018018842,-0.19782172,0.13549949,10
1979-11-01,0.33889827,2.529316,0.06477628,0.26408038,0.08347266,-0.37716633,-0.062443163,0.09861467,0.016327443,0.09165393,11
1979-12-01,0.35543963,3.6126313,0.14150351,0.79866195,0.13651508,-0.26206145,0.20951045,0.24602842,-0.10293319,-0.29751256,12
1980-01-01,0.38122347,2.8190422,0.31700858,0.492367,0.10828292,0.004916477,0.018668566,0.40259898,-0.24868296,0.2048094,1
1980-02-01,0.23530251,2.7747052,0.47980228,0.53315896,0.16257235,0.079045296,0.0006856132,0.5847131,-0.4226597,0.48912862,2
1980-03-01,0.004266029,2.5792854,0.26166323,0.52817106,0.047968652,-0.028801506,-0.2582369,0.21038349,-0.6192599,0.3309897,3
1980-04-01,0.14583828,3.39626,0.12380496,0.544016,0.015074213,0.3388849,-0.05348675,0.6248865,-0.18032002,-0.22189806,4
1980-05-01,0.18486513,3.4208786,-0.109465934,0.29601675,0.18888783,0.32742754,-0.19030307,0.5986071,-0.2505136,-0.29710698,5
1980-06-01,0.15350915,1.8961705,-0.19479461,0.34957495,0.0594644,-0.089800395,-0.03337844,0.35575166,-0.21090308,-0.07058595,6
1980-07-01,-0.20355543,0.5477331,-0.067612745,0.089909665,0.041098267,-0.11588636,-0.16442627,0.1323753,0.02805994,0.08236223,7
1980-08-01,-0.31418782,0.98347825,-0.06519159,0.16757903,0.079676,-0.040169537,-0.12686627,0.17495511,0.07679651,-0.13012363,8
1980-09-01,-0.3269452,1.5470318,-0.2264754,-0.1024888,0.049721923,-0.38464686,-0.339924,0.08622559,-0.037092283,-0.19516991,9
1980-10-01,-0.20328885,3.6320136,-0.22360548,-0.15187304,0.0398845,-0.1535227,0.0347734,-0.11097735,-0.16963346,0.07043274,10
1980-11-01,-0.23389176,4.349629,-0.40958202,-0.39353713,-0.004861264,-0.21351074,0.049530722,-0.06159197,-0.22642724,0.19922884,11
1980-12-01,-0.19009255,4.464202,-0.24554299,0.28285164,-0.05258716,-0.027591161,0.072270006,0.00037111714,-0.3285774,0.4117866,12
1981-01-01,-0.60926306,3.892555,0.06925917,-0.11823714,-0.09531613,0.11957979,0.14440018,0.21910459,-0.2867109,0.4124987,1
1981-02-01,-0.9742536,4.4675384,0.17091097,-0.3812163,-0.09249239,0.19866362,0.29433188,0.13102639,-0.2743655,0.68096566,2
1981-03-01,-0.8005989,8.640998,-0.2084579,-0.18889631,0.106079616,0.16872488,0.43053928,0.65721065,-0.46814957,0.49659017,3
1981-04-01,-0.80216974,7.5105486,-0.26448333,0.05160723,-0.031144086,0.16975284,0.22636741,0.50077844,-0.21385726,0.5127558,4
1981-05-01,-0.7004718,5.4108324,-0.21332704,0.21064514,0.09743544,0.12507623,0.27485326,0.20702277,-0.042328533,0.6504207,5
1981-06-01,-0.57001674,3.5699966,0.0024469958,0.23570484,-0.009101584,-0.23152573,0.09596665,0.2762286,0.38037404,0.84530026,6
1981-07-01,-0.60412544,3.155279,-0.046182543,-0.12135474,0.08574731,-0.34134102,0.12014869,0.16145974,0.08784753,0.8974027,7
1981-08-01,-0.60387564,3.0322313,-0.06438489,-0.20295842,-0.019181604,-0.54800117,0.0246087,-0.06662355,0.17107473,0.7704662,8
1981-09-01,-0.48056227,3.4941916,-0.21908581,-0.19551961,-0.034483016,-0.47222182,-0.14743246,-0.04758722,0.18205859,0.49698305,9
1981-10-01,-0.46833622,4.0709405,-0.25659874,0.010181288,0.036302622,-0.30728287,-0.3147823,-0.0868632,0.29864642,0.39246917,10
1981-11-01,-0.5646076,2.571654,-0.035710793,-0.23947078,-0.19852799,-0.26258686,-0.17685401,0.10531665,0.44510534,0.51735437,11
1981-12-01,-0.48492432,3.6449976,-0.08552191,-0.54533076,-0.2273203,-0.1925809,0.09354231,0.28494886,0.5928002,0.77890897,12
1982-01-01,-0.28947222,4.010542,-0.020278165,-0.5520742,-0.16386801,0.060680103,0.052251644,0.34168956,0.6203579,1.1788896,1
1982-02-01,-0.2757564,4.922606,0.11555428,-0.6415498,-0.13343522,0.3945415,0.2102957,0.06453198,0.57890266,1.198637,2
1982-03-01,-0.14218718,5.8821325,0.27508694,-0.8352945,-0.06896919,0.21051006,0.27936497,0.03628369,0.5463421,1.5593607,3
1982-04-01,0.26812893,7.405728,0.32011318,-0.67396057,0.111992635,0.17708297,0.53549457,-0.065914884,0.07158188,1.739383,4
1982-05-01,0.5414034,8.766083,-0.07249511,-0.2930883,0.30474168,0.6473721,0.39917597,-0.08687556,-0.20209947,1.4030619,5
1982-06-01,0.6963736,8.365629,-0.02008529,-0.14217114,0.24296069,0.50342,0.27508175,-0.07212934,-0.755687,0.89344937,6
1982-07-01,0.76832736,9.633512,-0.16109821,0.11013915,0.16216817,0.69538707,0.28326792,-0.20614453,-0.94716275,0.44251412,7
1982-08-01,1.110468,11.243426,-0.2207763,0.12773232,0.1125029,0.6317023,0.48277968,-0.33182907,-0.9321136,0.29813874,8
1982-09-01,1.4492776,13.19567,-0.2884329,0.3894812,0.11936457,1.2583492,0.7493216,-0.41054252,-0.5374578,0.16859104,9
1982-10-01,1.991167,14.416406,-0.33509588,0.5730368,0.2690178,0.9371669,0.4853735,-0.526653,-0.5327504,-0.2520073,10
1982-11-01,2.3353484,11.715825,-0.10363246,0.5681795,0.38004667,0.79573476,0.3637131,-0.37718967,-0.59088695,-0.80667895,11
1982-12-01,2.4547846,7.011816,-0.10850027,0.62996083,0.3229185,-0.20217669,-0.40321168,-0.5725045,-0.5771498,-1.2387991,12
1983-01-01,2.4827828,-0.43255284,-0.2191307,0.36149153,0.27227053,-0.21905746,-0.7087379,-0.43258938,-0.21553497,-1.2913401,1
