test_loss,test_rmse_reconstructed,n_pcs,model,batch_size,window_size,schedule
0.778,0.617,20,agcrn,96,6,standard
0.766,0.588,20,agcrn,64,3,cosine_warmup
0.776,0.596,20,mtgnn,96,6,standard
0.182,0.595,20,fgnn,32,4,cosine_warmup
0.174,0.572,20,agcrn,64,5,cosine
0.173,0.589,20,fgnn,64,6,standard
0.752,0.578,20,fgnn,64,5,cosine_warmup
0.749,0.592,20,fgnn,64,6,cosine
0.779,0.582,20,fgnn,96,4,cosine_warmup
0.166,0.646,20,mtgnn,64,6,cosine_warmup
0.753,0.582,20,fgnn,64,3,cosine_warmup
0.205,0.592,20,fgnn,32,6,cosine
0.171,0.58,20,agcrn,32,5,cosine
0.213,0.659,20,stemgnn,32,6,cosine_warmup
0.26,0.583,20,agcrn,32,4,cosine_warmup
0.333,0.577,20,agcrn,32,6,standard
0.779,0.582,20,agcrn,96,5,cosine
0.172,0.571,20,agcrn,64,5,cosine_warmup
0.76,0.598,20,fgnn,96,6,cosine
0.171,0.603,20,mtgnn,32,6,standard
0.249,0.719,20,stemgnn,64,6,standard
0.822,0.665,20,agcrn,96,4,cosine_warmup
0.807,0.751,20,stemgnn,96,6,cosine_warmup
0.752,0.629,20,mtgnn,96,5,cosine
0.159,0.586,20,fgnn,32,5,cosine_warmup
0.795,0.596,20,fgnn,96,3,cosine
0.819,0.765,20,stemgnn,64,5,cosine
0.18,0.575,20,agcrn,96,3,cosine_warmup
0.213,0.597,20,fgnn,32,6,standard
0.192,0.602,20,fgnn,96,5,cosine_warmup
0.752,0.577,20,fgnn,64,4,cosine_warmup
0.854,0.739,20,stemgnn,96,6,standard
0.759,0.59,20,fgnn,64,4,cosine
0.194,0.6,20,fgnn,32,3,cosine
0.246,0.802,20,agcrn,32,3,cosine_warmup
0.175,0.629,20,mtgnn,32,5,cosine
0.196,0.574,20,agcrn,32,5,cosine_warmup
0.759,0.58,20,fgnn,64,3,cosine
0.166,0.603,20,mtgnn,64,6,standard
0.7,0.617,20,stemgnn,32,6,standard
0.755,0.635,20,mtgnn,64,5,cosine
0.163,0.603,20,mtgnn,96,6,cosine_warmup
0.169,0.563,20,agcrn,64,6,standard
0.201,0.589,20,fgnn,32,4,cosine
0.777,0.598,20,fgnn,96,3,cosine_warmup
0.256,0.747,20,stemgnn,96,5,cosine
0.789,0.59,20,fgnn,96,4,cosine
0.732,0.75,20,stemgnn,32,5,cosine
