test_rmse_reconstructed,n_pcs,model,batch_size,window_size,schedule,add_sin_cos
0.652,20,agcrn,96,6,standard,0
0.63,20,agcrn,32,5,standard,1
0.723,20,stemgnn,32,4,cosine,1
0.643,20,fgnn,64,6,cosine,1
0.64,20,fgnn,32,6,cosine_warmup,1
0.655,20,fgnn,96,4,cosine,1
0.639,20,fgnn,64,4,cosine_warmup,1
0.627,20,agcrn,64,4,standard,1
0.699,20,mtgnn,96,6,standard,0
0.646,20,fgnn,32,4,cosine,0
0.77,20,stemgnn,64,6,standard,1
0.628,20,agcrn,64,5,cosine_warmup,1
0.817,20,stemgnn,64,5,cosine,1
0.787,20,agcrn,64,5,standard,0
0.661,20,fgnn,64,6,standard,0
0.664,20,fgnn,32,6,standard,1
0.628,20,mtgnn,64,5,standard,1
0.685,20,fgnn,64,5,cosine,0
0.736,20,agcrn,32,4,cosine_warmup,1
0.68,20,mtgnn,32,4,standard,1
0.638,20,fgnn,32,5,cosine_warmup,1
0.646,20,fgnn,64,6,standard,0
0.708,20,fgnn,96,4,cosine,0
0.677,20,mtgnn,64,6,cosine,0
0.653,20,agcrn,96,6,cosine_warmup,1
0.656,20,fgnn,32,6,standard,0
0.767,20,stemgnn,64,4,standard,1
0.686,20,mtgnn,32,6,cosine,1
0.726,20,stemgnn,32,5,standard,1
0.625,20,agcrn,32,5,standard,0
0.763,20,stemgnn,32,6,cosine,0
0.691,20,agcrn,32,4,cosine,0
0.647,20,fgnn,64,5,standard,1
0.624,20,agcrn,32,6,standard,0
0.678,20,mtgnn,32,6,standard,1
0.655,20,fgnn,96,4,cosine_warmup,1
0.807,20,agcrn,96,5,standard,0
0.649,20,agcrn,96,5,cosine_warmup,1
0.765,20,agcrn,32,4,cosine,1
0.628,20,agcrn,64,5,cosine,0
0.686,20,fgnn,96,6,standard,0
0.664,20,mtgnn,32,6,standard,0
0.748,20,stemgnn,64,6,standard,0
0.778,20,agcrn,96,4,cosine,0
0.722,20,mtgnn,96,5,cosine,1
0.647,20,fgnn,32,4,standard,1
0.769,20,stemgnn,96,6,cosine,0
0.719,20,mtgnn,96,5,standard,0
0.648,20,fgnn,32,5,cosine,0
0.643,20,fgnn,64,4,cosine,1
0.792,20,stemgnn,96,5,standard,1
0.732,20,stemgnn,32,6,cosine,1
0.752,20,stemgnn,64,5,standard,0
0.658,20,fgnn,96,6,cosine,1
0.746,20,stemgnn,64,5,cosine_warmup,1
0.714,20,mtgnn,96,6,cosine_warmup,1
0.655,20,fgnn,32,6,standard,0
0.667,20,fgnn,32,5,cosine,1
